Fri Dec  5 18:10:01 UTC 2025 | CPU : 0.0% | MEM : 6.74613% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:18:01 UTC 2025 | CPU : 0.0% | MEM : 6.85969% | DISK : 1% | LATENCY : 19.0 msms
Fri Dec  5 18:18:03 UTC 2025 | CPU : 0.0% | MEM : 6.85552% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:18:06 UTC 2025 | CPU : 0.0% | MEM : 6.84843% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:18:08 UTC 2025 | CPU : 0.0% | MEM : 6.84481% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:18:12 UTC 2025 | CPU : 0.0% | MEM : 6.85351% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:18:13 UTC 2025 | CPU : 0.0% | MEM : 6.78849% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:18:17 UTC 2025 | CPU : 0.0% | MEM : 6.77361% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:18:19 UTC 2025 | CPU : 0.0% | MEM : 6.77934% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:18:22 UTC 2025 | CPU : 0.0% | MEM : 6.8004% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:18:24 UTC 2025 | CPU : 0.0% | MEM : 6.80236% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:18:28 UTC 2025 | CPU : 0.0% | MEM : 6.79944% | DISK : 1% | LATENCY : 19.4 msms
Fri Dec  5 18:18:29 UTC 2025 | CPU : 0.0% | MEM : 6.81668% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:18:33 UTC 2025 | CPU : 0.0% | MEM : 6.82245% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:18:34 UTC 2025 | CPU : 0.0% | MEM : 6.79703% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:18:38 UTC 2025 | CPU : 0.0% | MEM : 6.81185% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:18:40 UTC 2025 | CPU : 0.0% | MEM : 6.82411% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:18:43 UTC 2025 | CPU : 0.0% | MEM : 6.80547% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:18:45 UTC 2025 | CPU : 0.0% | MEM : 6.81838% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:18:49 UTC 2025 | CPU : 0.0% | MEM : 6.8321% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:18:50 UTC 2025 | CPU : 0.0% | MEM : 6.83019% | DISK : 1% | LATENCY : 16.8 msms
Fri Dec  5 18:18:54 UTC 2025 | CPU : 0.0% | MEM : 6.82678% | DISK : 1% | LATENCY : 18.4 msms
Fri Dec  5 18:18:56 UTC 2025 | CPU : 0.6% | MEM : 6.8325% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:18:59 UTC 2025 | CPU : 0.0% | MEM : 6.84456% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:19:01 UTC 2025 | CPU : 0.0% | MEM : 6.82411% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:19:05 UTC 2025 | CPU : 0.0% | MEM : 6.83406% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:19:06 UTC 2025 | CPU : 0.0% | MEM : 6.83677% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:19:10 UTC 2025 | CPU : 0.0% | MEM : 6.82884% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:19:11 UTC 2025 | CPU : 0.0% | MEM : 6.80195% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:19:15 UTC 2025 | CPU : 0.0% | MEM : 6.82366% | DISK : 1% | LATENCY : 17.0 msms
Fri Dec  5 18:19:17 UTC 2025 | CPU : 0.0% | MEM : 6.84004% | DISK : 1% | LATENCY : 18.3 msms
Fri Dec  5 18:19:20 UTC 2025 | CPU : 0.0% | MEM : 6.83044% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:19:22 UTC 2025 | CPU : 0.0% | MEM : 6.83753% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:19:26 UTC 2025 | CPU : 0.0% | MEM : 6.83341% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:19:27 UTC 2025 | CPU : 0.0% | MEM : 6.82281% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:19:31 UTC 2025 | CPU : 0.0% | MEM : 6.82326% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:19:33 UTC 2025 | CPU : 0.0% | MEM : 6.81567% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:19:36 UTC 2025 | CPU : 0.0% | MEM : 6.79281% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:19:38 UTC 2025 | CPU : 0.0% | MEM : 6.81642% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:19:42 UTC 2025 | CPU : 0.0% | MEM : 6.82391% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:19:43 UTC 2025 | CPU : 0.6% | MEM : 6.82743% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:19:47 UTC 2025 | CPU : 0.0% | MEM : 6.80678% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:19:49 UTC 2025 | CPU : 0.0% | MEM : 6.81969% | DISK : 1% | LATENCY : 19.4 msms
Fri Dec  5 18:19:52 UTC 2025 | CPU : 0.0% | MEM : 6.81693% | DISK : 1% | LATENCY : 18.1 msms
Fri Dec  5 18:19:54 UTC 2025 | CPU : 0.0% | MEM : 6.80934% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:19:58 UTC 2025 | CPU : 0.0% | MEM : 6.82155% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:19:59 UTC 2025 | CPU : 0.0% | MEM : 6.82637% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:20:01 UTC 2025 | CPU : 0.0% | MEM : 6.83461% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:20:03 UTC 2025 | CPU : 0.0% | MEM : 6.84456% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:20:04 UTC 2025 | CPU : 0.0% | MEM : 6.85336% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:20:06 UTC 2025 | CPU : 0.0% | MEM : 6.85677% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:08 UTC 2025 | CPU : 0.0% | MEM : 6.8523% | DISK : 1% | LATENCY : 18.0 msms
Fri Dec  5 18:20:10 UTC 2025 | CPU : 0.0% | MEM : 6.84376% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:12 UTC 2025 | CPU : 0.0% | MEM : 6.84768% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:13 UTC 2025 | CPU : 0.0% | MEM : 6.84728% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:15 UTC 2025 | CPU : 0.0% | MEM : 6.84295% | DISK : 1% | LATENCY : 18.2 msms
Fri Dec  5 18:20:17 UTC 2025 | CPU : 0.0% | MEM : 6.83959% | DISK : 1% | LATENCY : 19.1 msms
Fri Dec  5 18:20:19 UTC 2025 | CPU : 0.0% | MEM : 6.84647% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:20:20 UTC 2025 | CPU : 0.0% | MEM : 6.81678% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:22 UTC 2025 | CPU : 0.0% | MEM : 6.82858% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:24 UTC 2025 | CPU : 0.0% | MEM : 6.83034% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:20:26 UTC 2025 | CPU : 0.0% | MEM : 6.8428% | DISK : 1% | LATENCY : 17.9 msms
Fri Dec  5 18:20:27 UTC 2025 | CPU : 0.6% | MEM : 6.84004% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:20:29 UTC 2025 | CPU : 0.0% | MEM : 6.83642% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:20:31 UTC 2025 | CPU : 0.0% | MEM : 6.84878% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:20:33 UTC 2025 | CPU : 0.0% | MEM : 6.86099% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:35 UTC 2025 | CPU : 0.0% | MEM : 6.86089% | DISK : 1% | LATENCY : 17.1 msms
Fri Dec  5 18:20:36 UTC 2025 | CPU : 0.0% | MEM : 6.84743% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:38 UTC 2025 | CPU : 0.0% | MEM : 6.8524% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:20:40 UTC 2025 | CPU : 0.0% | MEM : 6.84778% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:41 UTC 2025 | CPU : 0.0% | MEM : 6.83391% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:43 UTC 2025 | CPU : 0.0% | MEM : 6.8415% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:20:45 UTC 2025 | CPU : 0.0% | MEM : 6.84115% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:47 UTC 2025 | CPU : 0.0% | MEM : 6.82517% | DISK : 1% | LATENCY : 17.3 msms
Fri Dec  5 18:20:49 UTC 2025 | CPU : 0.0% | MEM : 6.86195% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:20:51 UTC 2025 | CPU : 0.0% | MEM : 6.82838% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:20:52 UTC 2025 | CPU : 0.0% | MEM : 6.84165% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:54 UTC 2025 | CPU : 0.0% | MEM : 6.83537% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:56 UTC 2025 | CPU : 0.0% | MEM : 6.85441% | DISK : 1% | LATENCY : 17.7 msms
Fri Dec  5 18:20:57 UTC 2025 | CPU : 0.0% | MEM : 6.84833% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:20:59 UTC 2025 | CPU : 0.0% | MEM : 6.82592% | DISK : 1% | LATENCY : 17.4 msms
Fri Dec  5 18:21:01 UTC 2025 | CPU : 0.0% | MEM : 6.83265% | DISK : 1% | LATENCY : 17.6 msms
Fri Dec  5 18:21:03 UTC 2025 | CPU : 0.0% | MEM : 6.82974% | DISK : 1% | LATENCY : 17.2 msms
Fri Dec  5 18:21:04 UTC 2025 | CPU : 0.0% | MEM : 6.8424% | DISK : 1% | LATENCY : 17.5 msms
Fri Dec  5 18:21:06 UTC 2025 | CPU : 0.0% | MEM : 6.84954% | DISK : 1% | LATENCY : 17.8 msms
Fri Dec  5 18:21:08 UTC 2025 | CPU : 0.0% | MEM : 6.82215% | DISK : 1% | LATENCY : 19.2 msms
Fri Dec  5 18:21:10 UTC 2025 | CPU : 0.0% | MEM : 6.79959% | DISK : 1% | LATENCY : 17.4 msms
